tconst,title,runtime,genres,year,rating,votes
tt13320622,The Lost City,112,"Action,Adventure,Comedy",2022,6.1,133949
tt6710474,Everything Everywhere All at Once,139,"Action,Adventure,Comedy",2022,7.8,445799
tt13560574,X,105,"Horror,Mystery,Thriller",2022,6.6,129615
tt1877830,The Batman,176,"Action,Crime,Drama",2022,7.8,698584
tt6443346,Black Adam,125,"Action,Adventure,Fantasy",2022,6.3,245409
tt8760708,M3GAN,102,"Horror,Sci-Fi,Thriller",2022,6.4,102383
tt7657566,Death on the Nile,127,"Crime,Drama,Mystery",2022,6.3,161166
tt1464335,Uncharted,116,"Action,Adventure",2022,6.3,227357
tt15791034,Barbarian,102,"Horror,Mystery,Thriller",2022,7.0,147699
tt7322224,Triangle of Sadness,147,"Comedy,Drama",2022,7.3,133954
tt15474916,Smile,115,"Horror,Mystery,Thriller",2022,6.5,127177
tt1745960,Top Gun: Maverick,130,"Action,Drama",2022,8.3,586096
tt8097030,Turning Red,100,"Adventure,Animation,Comedy",2022,7.0,134071
tt8041270,Jurassic World: Dominion,147,"Action,Adventure,Sci-Fi",2022,5.6,183253
tt8178634,RRR,187,"Action,Drama",2022,7.8,149783
tt13833688,The Whale,117,Drama,2022,7.7,143852
tt1630029,Avatar: The Way of Water,192,"Action,Adventure,Fantasy",2022,7.7,381823
tt8009428,Hustle,117,"Comedy,Drama,Sport",2022,7.3,131584
tt1649418,The Gray Man,122,"Action,Thriller",2022,6.5,216659
tt14138650,The Pale Blue Eye,128,"Crime,Horror,Mystery",2022,6.6,105724
tt11564570,Glass Onion,139,"Comedy,Crime,Drama",2022,7.1,390996
tt9419884,Doctor Strange in the Multiverse of Madness,126,"Action,Adventure,Fantasy",2022,6.9,437983
tt1016150,All Quiet on the Western Front,148,"Action,Drama,War",2022,7.8,204053
tt10954984,Nope,130,"Horror,Mystery,Sci-Fi",2022,6.8,228303
tt10648342,Thor: Love and Thunder,118,"Action,Adventure,Comedy",2022,6.2,362586
tt10640346,Babylon,189,"Comedy,Drama,History",2022,7.2,116795
tt10731256,Don't Worry Darling,123,"Drama,Thriller",2022,6.2,114462
tt10811166,The Kashmir Files,170,Drama,2022,8.7,567392
tt10698680,K.G.F: Chapter 2,168,"Action,Crime,Drama",2022,8.3,139441
tt10028196,Laal Singh Chaddha,159,"Comedy,Drama,Romance",2022,5.5,175561
tt11245972,Scream,114,"Horror,Mystery,Thriller",2022,6.3,136296
tt2463208,The Adam Project,106,"Action,Adventure,Comedy",2022,6.7,213507
tt11291274,The Unbearable Weight of Massive Talent,107,"Action,Comedy,Crime",2022,7.0,122942
tt9764362,The Menu,107,"Comedy,Horror,Thriller",2022,7.2,314056
tt11138512,The Northman,137,"Action,Adventure,Drama",2022,7.0,227602
tt6277462,Brahmastra Part One: Shiva,167,"Action,Adventure,Fantasy",2022,5.5,108473
tt10298810,Lightyear,105,"Action,Adventure,Animation",2022,6.1,113624
tt12593682,Bullet Train,127,"Action,Comedy,Thriller",2022,7.3,356565
tt5108870,Morbius,104,"Action,Adventure,Horror",2022,5.2,136536
tt4123432,Fantastic Beasts: The Secrets of Dumbledore,142,"Adventure,Family,Fantasy",2022,6.2,152625
tt11866324,Prey,100,"Action,Adventure,Drama",2022,7.1,206565
tt9114286,Black Panther: Wakanda Forever,161,"Action,Adventure,Drama",2022,6.7,267077
tt3915174,Puss in Boots: The Last Wish,102,"Adventure,Animation,Comedy",2022,7.9,128482
tt11813216,The Banshees of Inisherin,114,"Comedy,Drama",2022,7.7,207680
tt3704428,Elvis,159,"Biography,Drama,Music",2022,7.3,207868
tt3228774,Cruella,134,"Adventure,Comedy,Crime",2021,7.3,244529
tt7144666,The Black Phone,103,"Horror,Thriller",2021,6.9,166368
tt3480822,Black Widow,134,"Action,Adventure,Sci-Fi",2021,6.7,396226
tt5433138,F9: The Fast Saga,143,"Action,Crime,Thriller",2021,5.2,144196
tt4244994,The Last Duel,152,"Action,Drama,History",2021,7.4,165329
tt4513678,Ghostbusters: Afterlife,124,"Adventure,Comedy,Fantasy",2021,7.1,192005
tt5109280,Raya and the Last Dragon,107,"Action,Adventure,Animation",2021,7.3,159287
tt2953050,Encanto,102,"Animation,Comedy,Family",2021,7.2,236134
tt5034838,Godzilla vs. Kong,113,"Action,Sci-Fi,Thriller",2021,6.3,219444
tt2382320,No Time to Die,163,"Action,Adventure,Thriller",2021,7.3,418244
tt0293429,Mortal Kombat,110,"Action,Adventure,Fantasy",2021,6.0,180683
tt6856242,The King's Man,131,"Action,Adventure,Thriller",2021,6.3,157607
tt6264654,Free Guy,115,"Action,Adventure,Comedy",2021,7.1,390036
tt6334354,The Suicide Squad,132,"Action,Adventure,Comedy",2021,7.2,371785
tt7069210,The Conjuring: The Devil Made Me Do It,112,"Horror,Mystery,Thriller",2021,6.3,124156
tt7097896,Venom: Let There Be Carnage,97,"Action,Sci-Fi,Thriller",2021,5.9,236572
tt10838180,The Matrix Resurrections,148,"Action,Sci-Fi",2021,5.7,260724
tt11083552,Wrath of Man,119,"Action,Crime,Thriller",2021,7.1,189744
tt9639470,Last Night in Soho,116,"Drama,Horror,Mystery",2021,7.0,149867
tt10888594,Radhe,109,"Action,Crime,Thriller",2021,1.9,178714
tt10872600,Spider-Man: No Way Home,148,"Action,Adventure,Fantasy",2021,8.2,794869
tt10954652,Old,108,"Drama,Horror,Mystery",2021,5.8,134474
tt9620288,King Richard,144,"Biography,Drama,Sport",2021,7.5,122061
tt0870154,Jungle Cruise,127,"Action,Adventure,Comedy",2021,6.6,199394
tt10016180,The Little Things,128,"Crime,Drama,Mystery",2021,6.3,111406
tt9777666,The Tomorrow War,138,"Action,Adventure,Drama",2021,6.5,213995
tt7979580,The Mitchells vs the Machines,114,"Adventure,Animation,Comedy",2021,7.6,115659
